	index	Poll	Date	Biden	Sanders	Warren	Buttigieg	Bloomberg	Klobuchar	Yang	Booker	Gabbard	Steyer	Castro	Delaney	Bennet	Spread	start_ds	end_ds
39	169	Politico/Morning Consult	4/8 - 4/14	31.0	23.0	7.0	7		2	1	4.0	1		1.0	1		Biden +8	2019-04-08	2019-04-14
40	170	Politico/Morning Consult	4/1 - 4/7	32.0	23.0	7.0	5		2	1	4.0	1		1.0	1		Biden +9	2019-04-01	2019-04-07
41	173	Politico/Morning Consult	3/25 - 3/31	33.0	25.0	7.0	3		2		4.0	1		1.0	1		Biden +8	2019-03-25	2019-03-31
42	177	Politico/Morning Consult	3/18 - 3/24	35.0	25.0	7.0	2		2		4.0	1		1.0	1		Biden +10	2019-03-18	2019-03-24
43	181	Politico/Morning Consult	3/11 - 3/17	35.0	27.0	7.0	1		2		4.0	1		1.0	1		Biden +8	2019-03-11	2019-03-17
44	182	Politico/Morning Consult	3/4 - 3/10	31.0	27.0	7.0	1		3		4.0	1		1.0	1		Biden +4	2019-03-04	2019-03-10
45	184	Politico/Morning Consult	2/25 - 3/3	31.0	27.0	7.0	1	2	3		4.0	1		1.0	0		Biden +4	2019-02-25	2019-03-03
46	187	Politico/Morning Consult	2/18 - 2/24	29.0	27.0	7.0	1	2	3		4.0	1		1.0	1		Biden +2	2019-02-18	2019-02-24
47	188	Politico/Morning Consult	2/11 - 2/17	30.0	21.0	8.0	0	2	4		5.0	1		1.0	0		Biden +9	2019-02-11	2019-02-17
48	190	Politico/Morning Consult	2/4 - 2/10	29.0	22.0	8.0		2	3		5.0	1		1.0			Biden +7	2019-02-04	2019-02-10
49	192	Politico/Morning Consult	1/25 - 1/27	33.0	15.0	6.0		2	1		3.0	0		1.0			Biden +18	2019-01-25	2019-01-27
